SENT	1927E-ZARETSKI-SHOLEM,5.3
1	koydemkol	ADV	קודם-כּל	kvdM-Kl	_
18	nit	NEG	ניט	nyt	_
19	aktsentirt	VAN	אַקצענטירט	Aakqentyrt	_
20	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,9.130
1	nokh	P	נאָך	nAoX	_
2	"	PUNC	"	"	_
3	nitsokhn	NPR	נצחון	nqHvN	_
4	"	PUNC	"	"	_
5	falt	VBF	פֿאַלט	fAalt	_
6	der	D	דער	der	_
7	trof	N	טראָף	trAoF	_
8	af	P	אַף	AaF	_
9	"	PUNC	"	"	_
10	kedai	X	קעדאַיִ	kedAayi	_
11	"	PUNC	"	"	_
12	,	PUNC	,	,	_
13	oder	CONJ	אָדער	Aoder	_
14	af	P	אַף	AaF	_
15	der	D	דער	der	_
16	zatsgrupe	N	זאַצגרופּע	zAaqgrvpe	_
17	,	PUNC	,	,	_
18	vos	C	װאָס	VAos	_
19	nokh	P	נאָך	nAoX	_
20	"	PUNC	"	"	_
21	kedai	X	קעדאַיִ	kedAayi	_
22	"	PUNC	"	"	_
23	.	PUNC	.	.	_
24	red.	X	רעד.	red.	_

SENT	1927E-ZARETSKI-SHOLEM,10.132
1	dos	D	דאָס	dAos	_
2	iz	BEF	איז	Ayz	_
3	alts	Q	אַלץ	AalQ	_
4	geredt	VAN	גערעדט	geredt	_
5	vegn	P	װעגן	VegN	_
6	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
7	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.133
1	vi	WADV	װי	Vy	_
2	halt	VBF	האַלט	hAalt	_
3	dos	D	דאָס	dAos	_
4	mit	P	מיט	myt	_
5	dem	D	דעם	deM	_
6	beyzats	N	בײזאַץ	bYzAaQ	_
7	?	PUNC	?	?	_

SENT	1927E-ZARETSKI-SHOLEM,10.134
1	perzonverter	N	פּערזאָנװערטער	perzAonVerter	_
2	in	P	אין	AyN	_
3	beyzatsn	N	בײזאַצן	bYzAaqN	_
4	hob	HVF	האָב	hAob	_
5	ikh	PRO	איך	AyX	_
6-7	ongetseylt	RP~VBN	אָנגעצײלט	AongeqYlt	_
6	on	RP	אָן	AoN	_
7	getseylt	VBN	געצײלט	geqYlt	_
8	626	NUM	626	626	_
9	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.135
1	fun	P	פֿון	fvN	_
2	zey	PRO	זײ	zY	_
3	-	PUNC	-	-	_
4	3	NUM	3	3	_
5	"	PUNC	"	"	_
6	tsveyte	ADJ	צװײטע	qVYte	_
7	"	PUNC	"	"	_
8	,	PUNC	,	,	_
9	vos	C	װאָס	VAos	_
10	zey	PRO	זײ	zY	_
11	ignorir	VBF	איגנאָריר	AygnAoryr	_
12	ikh	PRO	איך	AyX	_
13	do	ADV	דאָ	dAo	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.136
1	bleybt	VBF	בלײבט	blYbt	_
2	593	NUM	593	593	_
3	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.137
1	fun	P	פֿון	fvN	_
2	zey	PRO	זײ	zY	_
3	shteyen	VBF	שטײען	$tYeN	_
4	:	PUNC	:	:	_
5-6	afn	P~D	אַפֿן	AafN	_
5	af	P	אַף	AaF	_
6	n	D	נ	n	_
7	II	ADJ	איי	Ayy	_
8	ort	N	אָרט	Aort	_
9	522	NUM	522	522	_
10	,	PUNC	,	,	_
11	d.h.	X	ד.ה.	d.h.	_
12	88%	NUM	88%	88%	_
13	.	PUNC	.	.	_
14-15	afn	P~D	אַפֿן	AafN	_
14	af	P	אַף	AaF	_
15	n	D	נ	n	_
16	I	ADJ	אי	Ay	_
17	ort	N	אָרט	Aort	_
18	71	NUM	71	71	_
19	,	PUNC	,	,	_
20	d.h.	X	ד.ה.	d.h.	_
21	12%	NUM	12%	12%	_
22	.	PUNC	.	.	_
23-24	afn	P~D	אַפֿן	AafN	_
23	af	P	אַף	AaF	_
24	n	D	נ	n	_
25	III	ADJ	אייִיִ	Ayyiyi	_
26	ort	N	אָרט	Aort	_
27	-	PUNC	-	-	_
28-29	nito	NEG~ADV	ניטאָ	nytAo	_
28	nit	NEG	ניט	nyt	_
29	o	ADV	אָ	Ao	_
30	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.138
1	der	D	דער	der	_
2	gruntgezets	N	גרונטגעזעץ	grvntgezeQ	_
3	iz	VBF	איז	Ayz	_
4	do	ADV	דאָ	dAo	_
5	nokh	ADV	נאָך	nAoX	_
6	boyleter	ADJ	בױלעטער	bWleter	_
7	,	PUNC	,	,	_
8	vi	P	װי	Vy	_
9-10	bam	P~D	באַם	bAaM	_
9	ba	P	באַ	bAa	_
10	m	D	מ	m	_
11	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
12	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.139
1	fun	P	פֿון	fvN	_
2	di	D	די	dy	_
3	71	NUM	71	71	_
4	faln	N	פֿאַלן	fAalN	_
5	,	PUNC	,	,	_
6	ven	C	װען	VeN	_
7	dos	D	דאָס	dAos	_
8	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
9	shteyt	VBF	שטײט	$tYt	_
10	in	P	אין	AyN	_
11	beyzats	N	בײזאַץ	bYzAaQ	_
12-13	afn	P~D	אַפֿן	AafN	_
12	af	P	אַף	AaF	_
13	n	D	נ	n	_
14	erstn	ADJ	ערסטן	erstN	_
15	ort	N	אָרט	Aort	_
16	,	PUNC	,	,	_
17	iz	VBF	איז	Ayz	_
18	di	D	די	dy	_
19	merheyt	N	מערהײט	merhYt	_
20	43	NUM	43	43	_
21	-	PUNC	-	-	_
22	azoyne	ADJ	אַזױנע	AazWne	_
23	,	PUNC	,	,	_
24	vau	WADV	װאַו	VAav	_
25	der	D	דער	der	_
26	beyzats	N	בײזאַץ	bYzAaQ	_
27	iz	BEF	איז	Ayz	_
28	baheft	VAN	באַהעפֿט	bAaheft	_
29	durkh	P	דורך	dvrX	_
30	dem	D	דעם	deM	_
31	bindvort	N	בינדװאָרט	byndVAort	_
32	"	PUNC	"	"	_
33	vos	C	װאָס	VAos	_
34	"	PUNC	"	"	_
35	un	CONJ	און	AvN	_
36	der	D	דער	der	_
37	subyekt	N	סוביעקט	svbyekt	_
38	iz	BEF	איז	Ayz	_
39	farfelt	VAN	פֿאַרפֿעלט	fAarfelt	_
40	,	PUNC	,	,	_
41	veyl	C	װײל	VYl	_
42	er	PRO	ער	er	_
43	iz	VBF	איז	Ayz	_
44	der	D	דער	der	_
45	zelbiker	ADJ	זעלביקער	zelbyker	_
46	,	PUNC	,	,	_
47	vi	P	װי	Vy	_
48	dos	D	דאָס	dAos	_
49	vort	N	װאָרט	VAort	_
50	in	P	אין	AyN	_
51	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
52	,	PUNC	,	,	_
53	vos	C	װאָס	VAos	_
54	tsu	P	צו	qv	_
55	im	PRO	אים	AyM	_
56	tsit	VBF	ציט	qyt	_
57	zikh	PRO	זיך	zyX	_
58	dos	D	דאָס	dAos	_
59	bindvort	N	בינדװאָרט	byndVAort	_
60	"	PUNC	"	"	_
61	vos	C	װאָס	VAos	_
62	"	PUNC	"	"	_
63	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.140
1	a	D	אַ	Aa	_
2	shteyger	N	שטײגער	$tYger	_
3	:	PUNC	:	:	_
4	a	D	אַ	Aa	_
5	maise	N	מאַיִסע	mAayise	_
6	,	PUNC	,	,	_
7	vos	C	װאָס	VAos	_
8	hot	HVF	האָט	hAot	_
9	zikh	PRO	זיך	zyX	_
10	farlofn	VBN	פֿאַרלאָפֿן	fAarlAofN	_
11	fn._7	REF	פֿן._7	fN._7	_

SENT	1927E-ZARETSKI-SHOLEM,10.141
1	farlofn	VBN	פֿאַרלאָפֿן	fAarlAofN	_
2	hot	HVF	האָט	hAot	_
3	zikh	PRO	זיך	zyX	_
4	,	PUNC	,	,	_
5	farshteyt	VBF	פֿאַרשטײט	fAar$tYt	_
6	zikh	PRO	זיך	zyX	_
7	,	PUNC	,	,	_
8	di	D	די	dy	_
9	mayse	N	מעשׂה	meCh	_
10	,	PUNC	,	,	_
11	vos	C	װאָס	VAos	_
12	iz	BEF	איז	Ayz	_
13	dermont	VAN	דערמאָנט	dermAont	_
14	in	P	אין	AyN	_
15	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
16	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.142
1	vi	P	װי	Vy	_
2	of	P	עוף	evF	_
3	a	D	אַ	Aa	_
4	mentshn	N	מענטשן	ment$N	_
5	,	PUNC	,	,	_
6	vos	C	װאָס	VAos	_
7	hot	HVF	האָט	hAot	_
8	nor	FP	נאָר	nAor	_
9	vos	Q	װאָס	VAos	_
10	gezogt	VBN	געזאָגט	gezAogt	_

SENT	1927E-ZARETSKI-SHOLEM,10.143
1	gezogt	VBN	געזאָגט	gezAogt	_
2	hot	HVF	האָט	hAot	_
3	der	D	דער	der	_
4	mentsh	N	מענטש	ment$	_
5	,	PUNC	,	,	_
6	vos	C	װאָס	VAos	_
7	iz	BEF	איז	Ayz	_
8	dermont	VAN	דערמאָנט	dermAont	_
9	in	P	אין	AyN	_
10	hoyptzats	N	הױפּטזאַץ	hWptzAaQ	_
11	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.144
1	zol	MDF	זאָל	zAol	_
2	do	ADV	דאָ	dAo	_
3	agev	ADV	אַגבֿ	Aag~	_
4	gezogt	VAN	געזאָגט	gezAogt	_
5	vern	RD	װערן	VerN	_
6	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,10.145
1	der	D	דער	der	_
2	farbund	N	פֿאַרבונד	fAarbvnd	_
3	mit	P	מיט	myt	_
4	"	PUNC	"	"	_
5	vos	C	װאָס	VAos	_
6	"	PUNC	"	"	_
7	iz	VBF	איז	Ayz	_
8	folkstimlekher	ADJR	פֿאָלקסטימלעכער	fAolkstymlexer	_
9	,	PUNC	,	,	_
10	vi	P	װי	Vy	_
11	mit	P	מיט	myt	_
12	"	PUNC	"	"	_
13	velkher	WPRO	װעלכער	Velxer	_
14	"	PUNC	"	"	_
15	;	PUNC	;	;	_

SENT	1927E-ZARETSKI-SHOLEM,10.146
1	s'	ES	ס'	s'	_
2	shadt	VBF	שאַדט	$Aadt	_
3	nit	NEG	ניט	nyt	_
4	,	PUNC	,	,	_
5	m'	PRO	מ'	m'	_
6	zal	MDF	ז"ל	z"l	_
7	dos	D	דאָס	dAos	_
8	in	P	אין	AyN	_
9	zinen	N	זינען	zyneN	_
10	hobn	VB	האָבן	hAobN	_
11	in	P	אין	AyN	_
12	unzer	PRO$	אונזער	Avnzer	_
13	tseytung-sprakh	N	צײטונג-ספּראַך	qYtvng-sprAaX	_
14	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.147
1	iz	BEF	איז	Ayz	_
2	aber	ADV	אַבער	Aaber	_
3	der	D	דער	der	_
4	subyekt	N	סוביעקט	svbyekt	_
5	in	P	אין	AyN	_
6	beyzats	N	בײזאַץ	bYzAaQ	_
7	nit	NEG	ניט	nyt	_
8	farfelt	VAN	פֿאַרפֿעלט	fAarfelt	_
9	,	PUNC	,	,	_
10	azoy	ADV	אַזױ	AazW	_
11	kumt	VBF	קומט	kvmt	_
12	der	D	דער	der	_
13	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
14	nit	NEG	ניט	nyt	_
15-16	afn	P~D	אַפֿן	AafN	_
15	af	P	אַף	AaF	_
16	n	D	נ	n	_
17	erstn	ADJ	ערסטן	erstN	_
18	ort	N	אָרט	Aort	_
19	:	PUNC	:	:	_

SENT	1927E-ZARETSKI-SHOLEM,10.148
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	erstn	ADJ	ערסטן	erstN	_
4	ort	N	אָרט	Aort	_
5	kumt	VBF	קומט	kvmt	_
6	demolt	ADV	דעמאָלט	demAolt	_
7	oder	CONJ	אָדער	Aoder	_
8	der	D	דער	der	_
9	subyekt	N	סוביעקט	svbyekt	_
10	,	PUNC	,	,	_
11	oder	CONJ	אָדער	Aoder	_
12	an	D	אַן	AaN	_
13	ander	ADJ	אַנדער	Aander	_
14	zatsglid	N	זאַצגליד	zAaqglyd	_
15	,	PUNC	,	,	_
16	oder	CONJ	אָדער	Aoder	_
17	"	PUNC	"	"	_
18	es	ES	עס	es	_
19	"	PUNC	"	"	_

SENT	1927E-ZARETSKI-SHOLEM,10.149
1	a	D	אַ	Aa	_
2	shteyger	N	שטײגער	$tYger	_
3	:	PUNC	:	:	_
4	1.	LS	1.	1.	_
5	vi	P	װי	Vy	_
6	a	D	אַ	Aa	_
7	mentsh	N	מענטש	ment$	_
8	,	PUNC	,	,	_
9	vos	C	װאָס	VAos	_
10	me	PRO	מע	me	_
11	hot	HVF	האָט	hAot	_
12	im	PRO	אים	AyM	_
13-14	ongetrotn	RP~VBN	אָנגעטראָטן	AongetrAotN	_
13	on	RP	אָן	AoN	_
14	getrotn	VBN	געטראָטן	getrAotN	_

SENT	1927E-ZARETSKI-SHOLEM,10.150
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	erstn	ADJ	ערסטן	erstN	_
4	ort	N	אָרט	Aort	_
5	shteyt	VBF	שטײט	$tYt	_
6	in	P	אין	AyN	_
7	beyzats	N	בײזאַץ	bYzAaQ	_
8	der	D	דער	der	_
9	subyekt	N	סוביעקט	svbyekt	_
10	"	PUNC	"	"	_
11	me	PRO	מע	me	_
12	"	PUNC	"	"	_
13	,	PUNC	,	,	_
14	dernakh	DR+P	דערנאַך	dernAaX	_
15	erst	ADV	ערסט	erst	_
16	der	D	דער	der	_
17	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
18	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.151
1	2.	LS	2.	2.	_
2	aza	ADJ	אַזאַ	AazAa	_
3	yid	N	ייִד	yyid	_
4	,	PUNC	,	,	_
5	vos	C	װאָס	VAos	_
6	im	PRO	אים	AyM	_
7	gefelt	VBF	געפֿעלט	gefelt	_
8	nit	NEG	ניט	nyt	_
9	zeyne	PRO$	זײנע	zYne	_
10	a	D	אַ	Aa	_
11	zakh	N	זאַך	zAaX	_

SENT	1927E-ZARETSKI-SHOLEM,10.152
1-2	afn	P~D	אַפֿן	AafN	_
1	af	P	אַף	AaF	_
2	n	D	נ	n	_
3	erstn	ADJ	ערסטן	erstN	_
4	ort	N	אָרט	Aort	_
5	in	P	אין	AyN	_
6	beyzats	N	בײזאַץ	bYzAaQ	_
7	der	D	דער	der	_
8	obyekt	N	אָביעקט	Aobyekt	_
9	"	PUNC	"	"	_
10	im	PRO	אים	AyM	_
11	"	PUNC	"	"	_
12	,	PUNC	,	,	_
13	dernokh	DR+P	דערנאָך	dernAoX	_
14	dos	D	דאָס	dAos	_
15	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
16	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.153
1	3.	LS	3.	3.	_
2	vi	P	װי	Vy	_
3	an	D	אַן	AaN	_
4	alter	ADJ	אַלטער	Aalter	_
5	man	N	מאַן	mAaN	_
6	,	PUNC	,	,	_
7	vos	C	װאָס	VAos	_
8	es	ES	עס	es	_
9	shlept	VBF	שלעפּט	$lept	_
10	zikh	PRO	זיך	zyX	_
11	im	PRO	אים	AyM	_
12	nokh	RP	נאָך	nAoX	_
13	a	D	אַ	Aa	_
14	fus	N	פֿוס	fvs	_

SENT	1927E-ZARETSKI-SHOLEM,10.154
1	sholem-aleykhem	NPR	שלום-אַלײכעם	$lvM-AalYxeM	_
2	hot	HVF	האָט	hAot	_
3	tsulib	P	צוליב	qvlyb	_
4	vos	WPRO	װאָס	VAos	_
5	nit	NEG	ניט	nyt	_
6	iz	VBF	איז	Ayz	_
7	mistom	ADV	מיסטאָם	mystAoM	_
8-9	tsulibn	P~D	צוליבן	qvlybN	_
8	tsulib	P	צוליב	qvlyb	_
9	n	D	נ	n	_
10	ritm	N	ריטם	rytM	_
11	,	PUNC	,	,	_
12	nit	NEG	ניט	nyt	_
13	gevolt	MDN	געװאָלט	geVAolt	_
14	shteln	VB	שטעלן	$telN	_
15-16	afn	P~D	אַפֿן	AafN	_
15	af	P	אַף	AaF	_
16	n	D	נ	n	_
17	erstn	ADJ	ערסטן	erstN	_
18	ort	N	אָרט	Aort	_
19	"	PUNC	"	"	_
20	im	PRO	אים	AyM	_
21	"	PUNC	"	"	_
22	oder	CONJ	אָדער	Aoder	_
23	"	PUNC	"	"	_
24	a	D	אַ	Aa	_
25	fus	N	פֿוס	fvs	_
26	"	PUNC	"	"	_
27	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,10.155
1	aber	CONJ	אַבער	Aaber	_
2-3	onheybn	RP~VB	אָנהײבן	AonhYbN	_
2	on	RP	אָן	AoN	_
3	heybn	VB	הײבן	hYbN	_
4	dem	D	דעם	deM	_
5	beyzats	N	בײזאַץ	bYzAaQ	_
6-7	mitn	P~D	מיטן	mytN	_
6	mit	P	מיט	myt	_
7	n	D	נ	n	_
8	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
9	ken	MDF	קען	keN	_
10	men	PRO	מען	meN	_
11	nit	NEG	ניט	nyt	_
12	,	PUNC	,	,	_
13	veyl	C	װײל	VYl	_
14	demolt	ADV	דעמאָלט	demAolt	_
15	volt	MDF	װאָלט	VAolt	_
16-17	oyskumen	RP~VB	אױסקומען	AWskvmeN	_
16	oys	RP	אױס	AWs	_
17	kumen	VB	קומען	kvmeN	_
18	,	PUNC	,	,	_
19	az	C	אַז	Aaz	_
20	der	D	דער	der	_
21	"	PUNC	"	"	_
22	alter	ADJ	אַלטער	Aalter	_
23	man	N	מאַן	mAaN	_
24	"	PUNC	"	"	_
25	shlept	VBF	שלעפּט	$lept	_
26	zikh	PRO	זיך	zyX	_
27	,	PUNC	,	,	_
28	nit	NEG	ניט	nyt	_
29	di	D	די	dy	_
30	"	PUNC	"	"	_
31	fus	N	פֿוס	fvs	_
32	"	PUNC	"	"	_
33	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.156
1	di	D	די	dy	_
2	stelung	N	סטעלונג	stelvng	_
3	fun	P	פֿון	fvN	_
4	perzonvort	N	פּערזאָנװאָרט	perzAonVAort	_
5	darf	MDF	דאַרף	dAarF	_
6	men	PRO	מען	meN	_
7	nokh	ADV	נאָך	nAoX	_
8	veyter	ADV	װײטער	VYter	_
9	shtudirn	VB	שטודירן	$tvdyrN	_
10	,	PUNC	,	,	_
11	sey	CONJ	סײ	sY	_
12	af	P	אַף	AaF	_
13	merer	QR	מערער	merer	_
14	material	N	מאַטעריִאַל	mAateryiAal	_
15	,	PUNC	,	,	_
16	sey	CONJ	סײ	sY	_
17	af	P	אַף	AaF	_
18	farsheydenern	ADJR	פֿאַרשײדענערן	fAar$YdenerN	_
19	material	N	מאַטעריִאַל	mAateryiAal	_
20	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.157
1	ober	CONJ	אָבער	Aober	_
2	gevise	ADJ	געװיסע	geVyse	_
3	oysfirn	N	אױספֿירן	AWsfyrN	_
4	ken	MDF	קען	keN	_
5	men	PRO	מען	meN	_
6	shoyn	ADV	שױן	$WN	_
7	makhn	VB	מאַכן	mAaxN	_
8	,	PUNC	,	,	_

SENT	1927E-ZARETSKI-SHOLEM,10.158
1	un	CONJ	און	AvN	_
2	gevise	ADJ	געװיסע	geVyse	_
3	zatsboyen	N	זאַצבױען	zAaqbWeN	_
4	,	PUNC	,	,	_
5	vos	C	װאָס	VAos	_
6	kumen-	VBF	קומען-	kvmeN-	_
7	for	RP	פֿאָר	fAor	_
8	amol	ADV	אַמאָל	AamAol	_
9	in	P	אין	AyN	_
10	tseytungen	N	צײטונגען	qYtvngeN	_
11	,	PUNC	,	,	_
12	ken	MDF	קען	keN	_
13	men	PRO	מען	meN	_
14	zikher	ADV	זיכער	zyxer	_
15	haltn	VB	האַלטן	hAaltN	_
16	far	P	פֿאַר	fAar	_
17	greyzn	N	גרײזן	grYzN	_
18	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.159
1	beyshpiln	N	בײשפּילן	bY$pylN	_
2	breyng	VBF	ברײנג	brYng	_
3	ikh	PRO	איך	AyX	_
4	in	P	אין	AyN	_
5	meyn	PRO$	מײן	mYN	_
6	bikhl	N	ביכל	byxl	_
7	"	PUNC	"	"	_
8	greyzn	N	גרײזן	grYzN	_
9	un	CONJ	און	AvN	_
10	sfeykes	N	ספֿקות	sfkvS	_
11	"	PUNC	"	"	_
12	kiev_1927,_kap.ix,_xii	REF	קיִעװ_1927,_קאַפּ.איx,_xיִיִ	kyieV_1927,_kAap.Ayx,_xyiyi	_
13	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.160
1	fn._7	LS	פֿן._7	fN._7	_
2	ikh	PRO	איך	AyX	_
3	rekhn	VBF	רעכן	rexN	_
4	,	PUNC	,	,	_
5	az	C	אַז	Aaz	_
6	"	PUNC	"	"	_
7	hot	HVF	האָט	hAot	_
8	"	PUNC	"	"	_
9	shteyt	VBF	שטײט	$tYt	_
10	do	ADV	דאָ	dAo	_
11-12	afn	P~D	אַפֿן	AafN	_
11	af	P	אַף	AaF	_
12	n	D	נ	n	_
13	erstn	ADJ	ערסטן	erstN	_
14	ort	N	אָרט	Aort	_
15	,	PUNC	,	,	_
16	veyl	C	װײל	VYl	_
17	dos	D	דאָס	dAos	_
18	bindvort	N	בינדװאָרט	byndVAort	_
19	"	PUNC	"	"	_
20	vos	C	װאָס	VAos	_
21	"	PUNC	"	"	_
22	farnemt	VBF	פֿאַרנעמט	fAarnemt	_
23	nit	NEG	ניט	nyt	_
24	keyn	Q	קײן	kYN	_
25	ort	N	אָרט	Aort	_
26	in	P	אין	AyN	_
27	verterzeyder	N	װערטערזײדער	VerterzYder	_
28	.	PUNC	.	.	_

SENT	1927E-ZARETSKI-SHOLEM,10.161
1	ikh	PRO	איך	AyX	_
2	farhof	VBF	פֿאַרהאָף	fAarhAoF	_
3	tsu	TO	צו	qv	_
4	barekhtikn	VB	באַרעכטיקן	bAarextykN	_
5	aza	ADJ	אַזאַ	AazAa	_
6	kuk	N	קוק	kvk	_
7	an	D	אַן	AaN	_
8	anders	ADJ	אַנדערס	Aanders	_
9	mal	N	מל	ml	_
10	.	PUNC	.	.	_

